yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid
2000,1,3,1/3/2000,6:22:00,3,AR,5,1,1,0,0,0,0,36.22,-92.18,36.27,-92.1,4.8,40
2000,1,3,1/3/2000,6:46:00,3,AR,5,2,1,0,0,0,0,36.22,-91.83,36.23,-91.8,1.8,40
2000,1,3,1/3/2000,6:50:00,3,AR,5,3,1,0,0,0,0,36.27,-91.7,36.28,-91.67,2,40
2000,1,3,1/3/2000,6:55:00,3,AR,5,4,1,0,0,0,0,36.47,-91.65,36.48,-91.6,3.1,40
2000,1,3,1/3/2000,12:15:00,3,MS,28,1,1,0,0,0.04,0,33.63,-90.37,33.67,-90.33,3,150
2000,1,3,1/3/2000,13:05:00,3,IN,18,1,1,0,0,0.05,0,38.47,-86.18,38.47,-86.18,0.3,50
2000,1,3,1/3/2000,13:30:00,3,MS,28,2,3,0,0,0.45,0,34.17,-89.55,34.6,-89.08,43.2,500
2000,1,3,1/3/2000,15:08:00,3,KY,21,1,3,3,0,7.4,0,37.27,-88.08,37.48,-87.73,24,440
2000,1,3,1/3/2000,16:06:00,3,KY,21,2,3,18,0,64,0,37.72,-87.18,37.77,-87.12,7,880
2000,1,3,1/3/2000,17:29:00,3,MS,28,3,2,0,0,0.17,0,32.18,-89.15,32.22,-89.05,6,210
2000,1,3,1/3/2000,18:21:00,3,MS,28,4,0,0,0,0,0,31.1,-91.27,31.1,-91.27,0.1,20
2000,1,9,1/9/2000,15:56:00,3,AL,1,1,0,1,0,0.02,0,32.3,-86.33,32.3,-86.33,0.1,20
2000,1,9,1/9/2000,16:22:00,3,AL,1,2,0,0,0,0,0,32.05,-85.52,32.05,-85.48,1,30
2000,1,9,1/9/2000,23:05:00,3,AL,1,3,1,0,0,0.5,0,32.05,-87.78,32.05,-87.7,6.5,300
2000,1,16,1/16/2000,11:00:00,3,WA,53,1,1,0,0,0.1,0,46.32,-118,46.32,-117.98,1,50
2000,1,24,1/24/2000,2:29:00,3,FL,12,1,1,0,0,0.5,0,26.43,-81.63,26.43,-81.6,2.5,70
2000,2,10,2/10/2000,15:40:00,3,NV,32,1,0,0,0,0,0,39.55,-119.77,39.55,-119.77,0.5,10
2000,2,13,2/13/2000,15:00:00,3,AL,1,4,1,0,0,0.1,0,32.08,-86.3,32.2,-86.17,11.4,300
2000,2,13,2/13/2000,15:30:00,3,AL,1,5,0,0,0,0.02,0,32.18,-86.02,32.22,-85.97,3,100
2000,2,13,2/13/2000,15:42:00,3,AL,1,6,0,0,0,0.01,0,32.23,-85.88,32.25,-85.87,1,50
2000,2,13,2/13/2000,16:52:00,3,AR,5,37,0,0,0,0,0,34.97,-92.45,34.97,-92.42,2.2,40
2000,2,13,2/13/2000,17:38:00,3,AR,5,5,2,2,0,0,0,34.88,-91.98,34.82,-91.43,32.7,100
2000,2,13,2/13/2000,18:04:00,3,TN,47,1,1,1,0,0.5,0,36.15,-86.87,36.15,-86.8,4.3,200
2000,2,13,2/13/2000,20:15:00,3,FL,12,2,1,0,0,0.3,0,30.47,-85.62,30.47,-85.62,0.5,50
2000,2,13,2/13/2000,20:18:00,3,FL,12,3,1,0,0,0.75,0,30.5,-85.53,30.5,-85.53,0.5,50
2000,2,13,2/13/2000,22:19:00,3,GA,13,1,1,1,0,1,0,31.05,-84.38,31.05,-84.38,0.2,50
2000,2,13,2/13/2000,22:42:00,3,GA,13,2,3,175,11,20,0,31.17,-84.27,31.23,-84.12,9.2,300
2000,2,13,2/13/2000,23:49:00,3,GA,13,3,3,15,7,5,0,31.02,-84.2,31.07,-84.02,15,300
2000,2,14,2/14/2000,0:21:00,3,GA,13,4,1,0,0,0.07,0,31.18,-83.85,31.23,-83.8,2,50
2000,2,14,2/14/2000,0:39:00,3,GA,13,5,2,0,1,2.5,0,31.32,-83.63,31.35,-83.58,6,200
2000,2,14,2/14/2000,1:30:00,3,GA,13,6,0,0,0,0,0,31.27,-83.47,31.27,-83.47,0,0
2000,2,14,2/14/2000,4:10:00,3,SC,45,1,0,0,0,0,0,33.48,-81.72,33.48,-81.68,0.2,50
2000,2,14,2/14/2000,5:00:00,3,NC,37,1,0,0,0,0,0,35.27,-77.58,35.27,-77.58,0.1,0
2000,2,14,2/14/2000,5:07:00,3,NC,37,2,0,0,0,0,0,35.85,-77.07,35.85,-77.07,0.1,0
2000,2,14,2/14/2000,16:40:00,3,ID,16,1,0,0,0,0.38,0,42.78,-112.83,42.92,-112.63,9,100
2000,2,14,2/14/2000,16:47:00,3,ID,16,2,1,0,0,2.2,0,43.12,-112.55,43.25,-112.33,14,300
2000,2,14,2/14/2000,16:55:00,3,ID,16,3,0,0,0,0.11,0,42.92,-112.52,42.92,-112.45,5,50
2000,2,14,2/14/2000,17:15:00,3,ID,16,4,1,0,0,0.5,0,43.35,-112.12,43.47,-111.98,12,200
2000,2,14,2/14/2000,17:19:00,3,ID,16,5,1,1,0,0.28,0,43.28,-112.18,43.37,-112.03,9,200
2000,2,16,2/16/2000,18:30:00,3,CA,6,1,0,0,0,0,0,34.08,-117.88,34.08,-117.88,0.5,10
2000,2,18,2/18/2000,12:03:00,3,AR,5,6,1,9,0,0,0,34.58,-92.65,34.58,-92.5,7.8,70
2000,2,18,2/18/2000,12:40:00,3,AR,5,7,0,0,0,0,0,34.6,-92.22,34.6,-92.22,0.3,40
2000,2,18,2/18/2000,12:50:00,3,AR,5,8,0,0,0,0,0,34.63,-92.13,34.63,-92.13,0.5,50
2000,2,18,2/18/2000,15:00:00,3,AR,5,9,0,0,0,0.03,0,35.08,-90.77,35.08,-90.77,1,20
2000,2,18,2/18/2000,16:14:00,3,MS,28,5,0,0,0,0,0,35,-89.52,34.98,-89.52,1,20
2000,2,18,2/18/2000,17:15:00,3,MS,28,6,0,0,0,0.01,0,33.88,-89.85,33.88,-89.85,1,40
2000,2,18,2/18/2000,17:19:00,3,MS,28,7,0,0,0,0,0,33.93,-89.88,33.95,-89.87,1,20
2000,2,18,2/18/2000,18:15:00,3,MS,28,8,0,0,0,0,0,34.97,-88.38,34.97,-88.38,1,20
2000,2,18,2/18/2000,20:25:00,3,MS,28,9,0,0,0,0,0,33.45,-88.62,33.45,-88.62,1,40
2000,2,22,2/22/2000,8:15:00,3,FL,12,4,0,0,0,0,0,25.67,-80.22,25.67,-80.22,0.1,10
2000,2,22,2/22/2000,13:19:00,3,TX,48,1,0,0,0,0,0,31.52,-101.83,31.52,-101.83,4,100
2000,2,22,2/22/2000,15:45:00,3,TX,48,2,0,0,0,0,0,34.18,-99.37,34.2,-99.35,2,40
2000,2,22,2/22/2000,21:00:00,3,TX,48,3,0,0,0,0,0,31.02,-98.18,31.02,-98.18,0.1,0
2000,2,22,2/22/2000,21:53:00,3,TX,48,4,0,0,0,0.01,0,31.1,-97.7,31.1,-97.7,12,0
2000,2,22,2/22/2000,22:36:00,3,TX,48,5,0,0,0,0,0,29.5,-99.8,29.5,-99.8,0.1,20
2000,2,23,2/23/2000,12:35:00,3,PR,72,1,0,0,0,0,0,18.39,-66.07,18.39,-66.07,0.2,10
2000,2,24,2/24/2000,18:42:00,3,TX,48,6,0,0,0,0,0,35.77,-100.63,35.77,-100.6,2,20
2000,2,24,2/24/2000,20:13:00,3,TX,48,7,1,0,0,0.09,0,36.33,-100.13,36.67,-99.83,27,150
2000,2,25,2/25/2000,7:37:00,3,OK,40,3,1,0,0,0.1,0,36.15,-95.95,36.15,-95.95,0.2,100
2000,2,25,2/25/2000,14:00:00,3,MO,29,1,0,0,0,0.06,0,37.73,-93.33,37.75,-93.32,1,100
2000,2,25,2/25/2000,14:20:00,3,MO,29,2,1,0,0,0.5,0,37.9,-93.2,37.97,-93.18,5,100
2000,2,25,2/25/2000,15:35:00,3,MO,29,3,0,0,0,0,0,38.75,-92.28,38.75,-92.28,0.2,50
2000,2,25,2/25/2000,15:45:00,3,MO,29,4,0,0,0,0,0,38.87,-92.17,38.95,-92.08,7,70
2000,2,25,2/25/2000,16:00:00,3,MO,29,5,1,0,0,0,0,39.02,-92.03,39.07,-92,3,100
2000,2,26,2/26/2000,0:00:00,3,AR,5,10,1,0,0,0,0,33.48,-92.78,33.48,-92.78,0.3,30
2000,2,26,2/26/2000,3:16:00,3,AR,5,11,1,0,0,0,0,35.33,-92.42,35.33,-92.42,0.2,20
2000,2,27,2/27/2000,15:37:00,3,CA,6,2,0,0,0,0,0,36.87,-120.2,36.87,-120.18,1,50
2000,2,27,2/27/2000,15:59:00,3,CA,6,3,0,0,0,0,0,36.7,-120.12,36.7,-120.12,0.5,20
2000,2,27,2/27/2000,16:10:00,3,CA,6,4,0,0,0,0,0,36.6,-119.87,36.6,-119.87,0.5,20
2000,2,27,2/27/2000,17:17:00,3,CA,6,5,0,0,0,0,0,36.65,-119.77,36.65,-119.77,0.2,20
2000,2,29,2/29/2000,18:17:00,3,MO,29,6,0,0,0,0,0,39,-92.03,39.03,-92,3,40
2000,2,29,2/29/2000,19:50:00,3,MO,29,7,0,0,0,0,0,39.35,-91.45,39.38,-91.4,10,50
2000,3,2,3/2/2000,2:07:00,3,TX,48,8,1,0,0,0,0,32.63,-102.07,32.73,-102.08,2,200
2000,3,3,3/3/2000,18:00:00,3,MS,28,10,0,0,0,0.01,0,31.27,-88.7,31.22,-88.62,6,30
2000,3,7,3/7/2000,16:20:00,3,KS,20,1,1,2,0,0.25,0,37.03,-100.93,37.03,-100.93,2,100
2000,3,7,3/7/2000,17:15:00,3,OK,40,4,1,0,0,0,0,35.15,-99.1,35.15,-99.07,2,20
2000,3,7,3/7/2000,18:10:00,3,KS,20,2,1,1,0,0,0,37.07,-99.35,37.1,-99.32,3.2,100
2000,3,7,3/7/2000,22:10:00,3,OK,40,6,0,0,0,0,0,36.32,-96,36.32,-96,0.1,50
2000,3,7,3/7/2000,22:10:00,3,OK,40,5,0,0,0,0,0,36.32,-96,36.32,-96,0.1,50
2000,3,7,3/7/2000,22:25:00,3,OK,40,7,0,0,0,0,0,36.5,-95.88,36.5,-95.88,1,50
2000,3,7,3/7/2000,22:37:00,3,OK,40,8,0,0,0,0.01,0,36.5,-95.68,36.5,-95.68,0.2,50
2000,3,8,3/8/2000,18:10:00,3,WI,55,1,1,16,0,4.57,0,42.95,-87.9,42.97,-87.85,1.7,70
2000,3,10,3/10/2000,16:53:00,3,LA,22,1,0,0,0,0,0,31.05,-93.37,31.05,-93.35,1,20
2000,3,10,3/10/2000,17:40:00,3,TX,48,9,1,0,0,0.01,0,30.65,-98.78,30.65,-98.77,1,100
2000,3,10,3/10/2000,17:41:00,3,TX,48,10,0,0,0,0,0,30.7,-98.67,30.7,-98.67,0.1,20
2000,3,10,3/10/2000,17:58:00,3,TX,48,11,0,0,0,0,0,30.65,-98.48,30.65,-98.48,0.1,10
2000,3,10,3/10/2000,18:35:00,3,TX,48,12,0,0,0,0,0,31.17,-97.5,31.17,-97.5,0.1,10
2000,3,10,3/10/2000,19:55:00,3,TX,48,13,3,2,0,1,0,30.42,-96.68,30.4,-96.35,21,800
2000,3,10,3/10/2000,20:05:00,3,TX,48,14,0,0,0,0.01,0,30.77,-95.95,30.77,-95.95,0.5,50
2000,3,10,3/10/2000,20:15:00,3,AL,1,7,0,0,0,0.05,0,33.1,-87.7,33.12,-87.67,1.8,60
2000,3,10,3/10/2000,20:28:00,3,AL,1,8,0,0,0,0.01,0,33.3,-87.48,33.33,-87.45,3.3,50
2000,3,10,3/10/2000,20:56:00,3,AL,1,9,0,0,0,0.04,0,32.77,-87.33,32.8,-87.23,7,100
2000,3,10,3/10/2000,21:11:00,3,AL,1,10,0,0,0,0.04,0,32.88,-87.1,32.9,-86.93,12,100
2000,3,10,3/10/2000,21:22:00,3,AL,1,11,1,0,0,0.5,0,33.32,-86.8,33.32,-86.78,1.5,200
2000,3,11,3/11/2000,14:00:00,3,SC,45,2,0,0,0,0,0,35.05,-81.9,35.05,-81.9,0.1,20
2000,3,11,3/11/2000,14:16:00,3,FL,12,5,1,0,0,0.2,0,30.73,-85.02,30.73,-84.98,2,70
2000,3,11,3/11/2000,19:45:00,3,FL,12,6,0,0,0,0,0,30.52,-84.52,30.52,-84.52,0,0
2000,3,14,3/14/2000,16:58:00,3,TX,48,15,0,0,0,0,0,26.63,-97.8,26.63,-97.8,0.1,20
2000,3,15,3/15/2000,13:57:00,3,LA,22,2,2,36,0,10,0,29.6,-90.72,29.6,-90.72,3,40
2000,3,15,3/15/2000,14:05:00,3,LA,22,3,1,1,0,0.02,0,29.57,-90.53,29.57,-90.53,0.5,30
2000,3,15,3/15/2000,16:52:00,3,OK,40,9,0,0,0,0,0,36.82,-98.18,36.8,-98.15,2.5,50
2000,3,15,3/15/2000,17:43:00,3,OK,40,10,0,0,0,0,0,36.85,-97.95,36.85,-97.95,0.5,20
