Week Number,date,Count,Area / %,Radius / %,Radius,Radius Average,Color
1.000,2014-1-1,0.000,0.000,0.000,0,18,1
2.000,2014-1-7,8.000,0.201,0.448,8,18,1
3.000,2014-1-14,2.000,0.050,0.224,4,18,1
4.000,2014-1-21,26.000,0.652,0.808,15,18,2
5.000,2014-1-28,4.000,0.100,0.317,6,18,1
6.000,2014-2-7,3.000,0.075,0.274,5,18,1
7.000,2014-2-14,7.000,0.176,0.419,8,18,1
8.000,2014-2-21,16.000,0.401,0.633,11,18,1
9.000,2014-2-28,8.000,0.201,0.448,8,18,1
10.000,2014-3-5,29.000,0.727,0.853,15,18,2
11.000,2014-3-12,13.000,0.326,0.571,10,18,1
12.000,2014-3-19,48.000,1.204,1.097,20,18,2
13.000,2014-3-26,99.000,2.483,1.576,29,18,2
14.000,2014-4-2,63.000,1.580,1.257,23,18,2
15.000,2014-4-9,79.000,1.981,1.408,25,18,2
16.000,2014-4-16,97.000,2.433,1.560,28,18,2
17.000,2014-4-23,105.000,2.634,1.623,29,18,2
18.000,2014-4-30,206.000,5.167,2.273,41,18,3
19.000,2014-5-6,123.000,3.085,1.756,32,18,3
20.000,2014-5-13,135.000,3.386,1.840,33,18,3
21.000,2014-5-20,122.000,3.060,1.749,32,18,3
22.000,2014-5-27,165.000,4.138,2.034,37,18,3
23.000,2014-6-3,81.000,2.032,1.425,26,18,2
24.000,2014-6-10,92.000,2.307,1.519,28,18,2
25.000,2014-6-17,35.000,0.878,0.937,17,18,2
26.000,2014-6-23,31.000,0.778,0.882,16,18,2
27.000,2014-6-30,27.000,0.677,0.823,15,18,2
28.000,2014-7-7,4.000,0.100,0.317,6,18,1
29.000,2014-7-14,10.000,0.251,0.501,9,18,1
30.000,2014-7-21,22.000,0.552,0.743,13,18,1
31.000,2014-7-28,7.000,0.176,0.419,8,18,1
32.000,2014-8-4,5.000,0.125,0.354,6,18,1
33.000,2014-8-11,11.000,0.276,0.525,10,18,1
34.000,2014-8-18,7.000,0.176,0.419,8,18,1
35.000,2014-8-25,12.000,0.301,0.549,10,18,1
36.000,2014-9-1,30.000,0.752,0.867,16,18,1
37.000,2014-9-8,27.000,0.677,0.823,15,18,2
38.000,2014-9-15,6.000,0.150,0.388,7,18,1
39.000,2014-9-22,9.000,0.226,0.475,9,18,1
40.000,2014-9-29,1.000,0.025,0.158,3,18,1
41.000,2014-10-6,50.000,1.254,1.120,20,18,2
42.000,2014-10-13,16.000,0.401,0.633,11,18,1
43.000,2014-10-20,6.000,0.150,0.388,7,18,1
44.000,2014-10-27,41.000,1.028,1.014,18,18,2
45.000,2014-11-4,3.000,0.075,0.274,5,18,1
46.000,2014-11-11,33.000,0.828,0.910,16,18,2
47.000,2014-11-18,77.000,1.931,1.390,25,18,2
48.000,2014-11-25,42.000,1.053,1.026,19,18,2
49.000,2014-12-3,1.000,0.025,0.158,3,18,1
50.000,2014-12-10,16.000,0.401,0.633,11,18,1
51.000,2014-12-17,8.000,0.201,0.448,8,18,1
52.000,2014-12-24,70.000,1.756,1.325,24,18,2
53.000,2014-12-30,15.000,0.376,0.613,11,18,1
